id;start_date;end_date;language
1;2020-11-04T13:53:24;2020-11-04T11:43:39;SPANISH
2;2020-11-03T18:43:35;2020-11-04T13:48:00;SPANISH
3;2020-11-04T09:38:54;2020-11-03T20:13:03;FRENCH
4;2020-11-04T00:56:25;2020-11-04T12:27:51;FRENCH
5;2020-11-04T10:26:43;2020-11-04T15:13:42;FRENCH
6;2020-11-04T04:19:04;2020-11-04T16:27:18;FRENCH
7;2020-11-04T06:04:24;2020-11-03T23:55:15;FRENCH
8;2020-11-04T05:00:37;2020-11-04T15:16:45;SPANISH
9;2020-11-04T03:41:46;2020-11-04T00:23:09;SPANISH
10;2020-11-04T11:53:50;2020-11-03T22:28:20;SPANISH
